geo_level,geo_code,area,sex,maritalstatus,total,geo_version
district,246,Urban,Male,never married,4535,2011
district,247,Rural,Male,never married,17839,2011
district,247,Urban,Male,never married,5656,2011
district,248,Rural,Male,never married,24327,2011
district,248,Urban,Male,never married,28180,2011
district,249,Rural,Male,never married,20966,2011
district,249,Urban,Male,never married,3986,2011
district,250,Rural,Male,never married,25381,2011
district,250,Urban,Male,never married,6873,2011
district,251,Rural,Male,never married,20930,2011
district,251,Urban,Male,never married,7710,2011
district,252,Rural,Male,never married,8429,2011
district,252,Urban,Male,never married,1845,2011
district,253,Rural,Male,never married,38247,2011
district,253,Urban,Male,never married,5459,2011
district,254,Rural,Male,never married,27656,2011
district,254,Urban,Male,never married,5796,2011
district,255,Rural,Male,never married,22096,2011
district,255,Urban,Male,never married,3646,2011
district,256,Rural,Male,never married,28435,2011
district,256,Urban,Male,never married,730,2011
district,257,Rural,Male,never married,1909,2011
district,257,Urban,Male,never married,714,2011
district,258,Rural,Male,never married,12653,2011
district,258,Urban,Male,never married,3364,2011
district,259,Rural,Male,never married,33471,2011
district,259,Urban,Male,never married,9446,2011
district,260,Rural,Male,never married,6223,2011
district,260,Urban,Male,never married,404,2011
district,261,Rural,Male,never married,74643,2011
district,261,Urban,Male,never married,11786,2011
district,262,Rural,Male,never married,42813,2011
district,262,Urban,Male,never married,17060,2011
district,263,Rural,Male,never married,36165,2011
district,263,Urban,Male,never married,9104,2011
district,264,Rural,Male,never married,42192,2011
district,264,Urban,Male,never married,11727,2011
district,265,Rural,Male,never married,57369,2011
district,265,Urban,Male,never married,58644,2011
district,266,Rural,Male,never married,44736,2011
district,266,Urban,Male,never married,8020,2011
district,267,Rural,Male,never married,54142,2011
district,267,Urban,Male,never married,12471,2011
district,268,Rural,Male,never married,13968,2011
district,268,Urban,Male,never married,2568,2011
district,269,Rural,Male,never married,18367,2011
district,269,Urban,Male,never married,5827,2011
district,270,Rural,Male,never married,47173,2011
district,270,Urban,Male,never married,38878,2011
district,271,Rural,Male,never married,27157,2011
district,271,Urban,Male,never married,4347,2011
district,272,Rural,Male,never married,158645,2011
district,272,Urban,Male,never married,2204,2011
district,273,Rural,Male,never married,38178,2011
district,273,Urban,Male,never married,5899,2011
district,274,Rural,Male,never married,75049,2011
district,274,Urban,Male,never married,4912,2011
district,275,Rural,Male,never married,39872,2011
district,275,Urban,Male,never married,22863,2011
district,276,Rural,Male,never married,74297,2011
district,276,Urban,Male,never married,39958,2011
district,277,Rural,Male,never married,51257,2011
district,277,Urban,Male,never married,82028,2011
district,278,Rural,Male,never married,74699,2011
district,278,Urban,Male,never married,47533,2011
district,279,Rural,Male,never married,50411,2011
district,279,Urban,Male,never married,8771,2011
district,280,Rural,Male,never married,35860,2011
district,280,Urban,Male,never married,4967,2011
district,281,Rural,Male,never married,21682,2011
district,281,Urban,Male,never married,4423,2011
district,282,Rural,Male,never married,11098,2011
district,282,Urban,Male,never married,13265,2011
district,283,Rural,Male,never married,24989,2011
district,283,Urban,Male,never married,87849,2011
district,284,Rural,Male,never married,22714,2011
district,284,Urban,Male,never married,13938,2011
district,285,Rural,Male,never married,9965,2011
district,285,Urban,Male,never married,9080,2011
district,286,Rural,Male,never married,27662,2011
district,286,Urban,Male,never married,19204,2011
district,287,Rural,Male,never married,28710,2011
district,287,Urban,Male,never married,6429,2011
district,288,Rural,Male,never married,9390,2011
district,288,Urban,Male,never married,7796,2011
district,289,Rural,Male,never married,266250,2011
district,289,Urban,Male,never married,157274,2011
district,290,Rural,Male,never married,191250,2011
district,290,Urban,Male,never married,28302,2011
district,291,Rural,Male,never married,90112,2011
district,291,Urban,Male,never married,9788,2011
district,292,Rural,Male,never married,160651,2011
district,292,Urban,Male,never married,30545,2011
district,293,Rural,Male,never married,171191,2011
district,293,Urban,Male,never married,21961,2011
district,294,Rural,Male,never married,83573,2011
district,294,Urban,Male,never married,13643,2011
district,295,Rural,Male,never married,40530,2011
district,295,Urban,Male,never married,4009,2011
district,296,Rural,Male,never married,113849,2011
district,296,Urban,Male,never married,14447,2011
district,297,Rural,Male,never married,76088,2011
district,297,Urban,Male,never married,7938,2011
district,298,Rural,Male,never married,147611,2011
district,298,Urban,Male,never married,108327,2011
district,299,Rural,Male,never married,120500,2011
district,299,Urban,Male,never married,8706,2011
district,300,Rural,Male,never married,233761,2011
district,300,Urban,Male,never married,14307,2011
district,301,Rural,Male,never married,516801,2011
district,301,Urban,Male,never married,56017,2011
district,302,Rural,Male,never married,253335,2011
district,302,Urban,Male,never married,37932,2011
district,303,Rural,Male,never married,450431,2011
district,303,Urban,Male,never married,40067,2011
district,304,Rural,Male,never married,256553,2011
district,304,Urban,Male,never married,19706,2011
district,305,Rural,Male,never married,722526,2011
district,305,Urban,Male,never married,98279,2011
district,306,Rural,Male,never married,486636,2011
district,306,Urban,Male,never married,43954,2011
district,307,Rural,Male,never married,265966,2011
district,307,Urban,Male,never married,24001,2011
district,308,Rural,Male,never married,179910,2011
district,308,Urban,Male,never married,13455,2011
district,309,Rural,Male,never married,294047,2011
