geo_level,geo_code,area,sex,total,geo_version
district,305,Rural,Male,1250985,2011
district,305,Urban,Male,188127,2011
district,306,Rural,Male,894985,2011
district,306,Urban,Male,88919,2011
district,307,Rural,Male,482582,2011
district,307,Urban,Male,47092,2011
district,308,Rural,Male,326278,2011
district,308,Urban,Male,24971,2011
district,309,Rural,Male,541395,2011
district,309,Urban,Male,138836,2011
district,310,Rural,Male,550299,2011
district,310,Urban,Male,126135,2011
district,311,Rural,Male,531286,2011
district,311,Urban,Male,57930,2011
district,312,Rural,Male,442968,2011
district,312,Urban,Male,113837,2011
district,313,Rural,Male,493125,2011
district,313,Urban,Male,50036,2011
district,314,Rural,Male,431924,2011
district,314,Urban,Male,58243,2011
district,315,Rural,Male,77817,2011
district,315,Urban,Male,32985,2011
district,316,Rural,Male,727083,2011
district,316,Urban,Male,159201,2011
district,317,Rural,Male,570510,2011
district,317,Urban,Male,55354,2011
district,318,Rural,Male,313747,2011
district,318,Urban,Male,24143,2011
district,319,Rural,Male,319786,2011
district,319,Urban,Male,56032,2011
district,320,Rural,Male,226895,2011
district,320,Urban,Male,17965,2011
district,321,Rural,Male,706140,2011
district,321,Urban,Male,72321,2011
district,322,Rural,Male,111062,2011
district,322,Urban,Male,536523,2011
district,323,Rural,Male,353677,2011
district,323,Urban,Male,42329,2011
district,324,Rural,Male,475027,2011
district,324,Urban,Male,6303,2011
district,325,Rural,Male,446460,2011
district,325,Urban,Male,28813,2011
district,326,Rural,Male,402442,2011
district,326,Urban,Male,19175,2011
state,19,Rural,Male,31844945,2011
state,19,Urban,Male,14964082,2011
district,327,Rural,Male,566965,2011
district,327,Urban,Male,370294,2011
district,328,Rural,Male,1437286,2011
district,328,Urban,Male,545778,2011
district,329,Rural,Male,1304916,2011
district,329,Urban,Male,146626,2011
district,330,Rural,Male,1362469,2011
district,330,Urban,Male,188597,2011
district,331,Rural,Male,737771,2011
district,331,Urban,Male,119428,2011
district,332,Rural,Male,1768336,2011
district,332,Urban,Male,283205,2011
district,333,Rural,Male,2917822,2011
district,333,Urban,Male,709742,2011
district,334,Rural,Male,1561976,2011
district,334,Urban,Male,228944,2011
district,335,Rural,Male,2373787,2011
district,335,Urban,Male,1593102,2011
district,336,Rural,Male,1921112,2011
district,336,Urban,Male,732656,2011
district,337,Rural,Male,2196554,2011
district,337,Urban,Male,2922835,2011
district,338,Rural,Male,1722945,2011
district,338,Urban,Male,1091708,2011
district,339,Rural,Male,1685777,2011
district,339,Urban,Male,152318,2011
district,340,Rural,Male,1304208,2011
district,340,Urban,Male,192788,2011
district,341,Rural,Male,909519,2011
district,341,Urban,Male,1591300,2011
district,342,Rural,Male,0,2011
district,342,Urban,Male,2356766,2011
district,343,Rural,Male,3109219,2011
district,343,Urban,Male,1064559,2011
district,344,Rural,Male,2641721,2011
district,344,Urban,Male,366164,2011
district,345,Rural,Male,2322562,2011
district,345,Urban,Male,307272,2011
state,20,Rural,Male,12776486,2011
state,20,Urban,Male,4153829,2011
district,346,Rural,Male,646947,2011
district,346,Urban,Male,36628,2011
