geo_level,geo_code,area,sex,education,total,geo_version
district,212,Rural,Male,Literate Without Level,46849,2011
district,212,Urban,Male,Literate Without Level,3305,2011
district,213,Rural,Male,Literate Without Level,32413,2011
district,213,Urban,Male,Literate Without Level,849,2011
district,214,Rural,Male,Literate Without Level,20190,2011
district,214,Urban,Male,Literate Without Level,2025,2011
district,215,Rural,Male,Literate Without Level,65999,2011
district,215,Urban,Male,Literate Without Level,6579,2011
district,216,Rural,Male,Literate Without Level,79874,2011
district,216,Urban,Male,Literate Without Level,8307,2011
district,217,Rural,Male,Literate Without Level,36387,2011
district,217,Urban,Male,Literate Without Level,1736,2011
district,218,Rural,Male,Literate Without Level,41444,2011
district,218,Urban,Male,Literate Without Level,2204,2011
district,219,Rural,Male,Literate Without Level,35854,2011
district,219,Urban,Male,Literate Without Level,4889,2011
district,220,Rural,Male,Literate Without Level,48135,2011
district,220,Urban,Male,Literate Without Level,2784,2011
district,221,Rural,Male,Literate Without Level,41754,2011
district,221,Urban,Male,Literate Without Level,2098,2011
district,222,Rural,Male,Literate Without Level,36257,2011
district,222,Urban,Male,Literate Without Level,7483,2011
district,223,Rural,Male,Literate Without Level,33926,2011
district,223,Urban,Male,Literate Without Level,1310,2011
district,224,Rural,Male,Literate Without Level,35658,2011
district,224,Urban,Male,Literate Without Level,9748,2011
district,225,Rural,Male,Literate Without Level,25879,2011
district,225,Urban,Male,Literate Without Level,536,2011
district,226,Rural,Male,Literate Without Level,20713,2011
district,226,Urban,Male,Literate Without Level,9066,2011
district,227,Rural,Male,Literate Without Level,19461,2011
district,227,Urban,Male,Literate Without Level,3236,2011
district,228,Rural,Male,Literate Without Level,12732,2011
district,228,Urban,Male,Literate Without Level,1797,2011
district,229,Rural,Male,Literate Without Level,35212,2011
district,229,Urban,Male,Literate Without Level,7910,2011
district,230,Rural,Male,Literate Without Level,50573,2011
district,230,Urban,Male,Literate Without Level,43279,2011
district,231,Rural,Male,Literate Without Level,31552,2011
district,231,Urban,Male,Literate Without Level,4448,2011
state,19,Urban,Male,Middle,2234613,2011
district,232,Rural,Male,Literate Without Level,19147,2011
district,232,Urban,Male,Literate Without Level,3091,2011
district,233,Rural,Male,Literate Without Level,50689,2011
district,233,Urban,Male,Literate Without Level,1677,2011
district,234,Rural,Male,Literate Without Level,27486,2011
